Study ID,Patient ID,Sample ID,NSD1: mRNA expression z-scores relative to all samples (log microarray)
brca_metabric,MB-0598,MB-0598,-0.5716
brca_metabric,MB-0599,MB-0599,-1.0955
brca_metabric,MB-0600,MB-0600,-0.4161
brca_metabric,MB-0601,MB-0601,0.765
brca_metabric,MB-0603,MB-0603,-0.8467
brca_metabric,MB-0605,MB-0605,-0.5113
brca_metabric,MB-0606,MB-0606,-0.5369
brca_metabric,MB-0607,MB-0607,-0.7438
brca_metabric,MB-0608,MB-0608,1.0239
brca_metabric,MB-0609,MB-0609,-0.4801
brca_metabric,MB-0610,MB-0610,0.3648
brca_metabric,MB-0611,MB-0611,-0.6335
brca_metabric,MB-0613,MB-0613,-0.5549
brca_metabric,MB-0614,MB-0614,-0.2925
brca_metabric,MB-0615,MB-0615,-1.5901
brca_metabric,MB-0616,MB-0616,-0.7833
brca_metabric,MB-0617,MB-0617,-0.2713
brca_metabric,MB-0618,MB-0618,-0.3126
brca_metabric,MB-0619,MB-0619,-0.7417
brca_metabric,MB-0620,MB-0620,0.1503
brca_metabric,MB-0621,MB-0621,-0.9016
brca_metabric,MB-0623,MB-0623,-0.2896
brca_metabric,MB-0624,MB-0624,-0.1914
brca_metabric,MB-0626,MB-0626,-0.7549
brca_metabric,MB-0627,MB-0627,0.1133
brca_metabric,MB-0628,MB-0628,-0.2423
brca_metabric,MB-0630,MB-0630,-0.974
brca_metabric,MB-0631,MB-0631,-0.337
brca_metabric,MB-0632,MB-0632,-1.5723
brca_metabric,MB-0634,MB-0634,0.9147
brca_metabric,MB-0635,MB-0635,-0.7315
brca_metabric,MB-0636,MB-0636,-0.0818
brca_metabric,MB-0637,MB-0637,-0.5706
brca_metabric,MB-0638,MB-0638,-0.8968
brca_metabric,MB-0639,MB-0639,-2.0164
brca_metabric,MB-0640,MB-0640,0.0849
brca_metabric,MB-0641,MB-0641,0.6343
brca_metabric,MB-0642,MB-0642,0.6505
brca_metabric,MB-0643,MB-0643,-0.8053
brca_metabric,MB-0644,MB-0644,-0.7696
brca_metabric,MB-0646,MB-0646,0.1863
brca_metabric,MB-0649,MB-0649,-0.9348
brca_metabric,MB-0650,MB-0650,-0.5943
brca_metabric,MB-0652,MB-0652,-0.6694
brca_metabric,MB-0653,MB-0653,0.2896
brca_metabric,MB-0654,MB-0654,-0.1687
brca_metabric,MB-0655,MB-0655,-1.3817
brca_metabric,MB-0656,MB-0656,-0.7868
brca_metabric,MB-0657,MB-0657,0.0094
brca_metabric,MB-0658,MB-0658,-0.746
brca_metabric,MB-0659,MB-0659,0.5352
brca_metabric,MB-0660,MB-0660,-0.0729
brca_metabric,MB-0661,MB-0661,1.325
brca_metabric,MB-0662,MB-0662,0.5571
brca_metabric,MB-0663,MB-0663,-1.4456
brca_metabric,MB-0664,MB-0664,-0.9009
brca_metabric,MB-0666,MB-0666,-0.2181
brca_metabric,MB-0667,MB-0667,0.4057
brca_metabric,MB-0869,MB-0869,-0.2975
brca_metabric,MB-0872,MB-0872,-1.2441
brca_metabric,MB-0874,MB-0874,-1.2887
brca_metabric,MB-0876,MB-0876,-1.0624
brca_metabric,MB-0877,MB-0877,-0.5948
brca_metabric,MB-0880,MB-0880,0.0274
brca_metabric,MB-0882,MB-0882,-0.5221
brca_metabric,MB-0884,MB-0884,-0.2737
brca_metabric,MB-0885,MB-0885,0.2037
brca_metabric,MB-0891,MB-0891,-0.8585
brca_metabric,MB-0893,MB-0893,-0.3095
brca_metabric,MB-0895,MB-0895,-1.0966
brca_metabric,MB-0897,MB-0897,-1.238
brca_metabric,MB-0899,MB-0899,-1.3808
brca_metabric,MB-0901,MB-0901,0.4624
brca_metabric,MB-0904,MB-0904,-1.2413
brca_metabric,MB-0906,MB-0906,1.5962
brca_metabric,MB-0907,MB-0907,-1.1101
brca_metabric,MB-2513,MB-2513,-1.314
brca_metabric,MB-2517,MB-2517,-0.5206
brca_metabric,MB-2536,MB-2536,-1.3022
brca_metabric,MB-2556,MB-2556,-0.8864
brca_metabric,MB-2564,MB-2564,0.0573
brca_metabric,MB-2610,MB-2610,-1.2068
brca_metabric,MB-2613,MB-2613,-1.8867
brca_metabric,MB-2614,MB-2614,-0.7911
brca_metabric,MB-2616,MB-2616,-1.4173
brca_metabric,MB-2617,MB-2617,-1.2881
brca_metabric,MB-2618,MB-2618,-1.0316
brca_metabric,MB-2624,MB-2624,-0.4341
brca_metabric,MB-2626,MB-2626,-1.5907
brca_metabric,MB-2629,MB-2629,-1.1917
brca_metabric,MB-2632,MB-2632,-1.8928
brca_metabric,MB-2634,MB-2634,-1.2948
brca_metabric,MB-2642,MB-2642,-1.8341
brca_metabric,MB-2643,MB-2643,-1.1785
brca_metabric,MB-2645,MB-2645,-1.5473
brca_metabric,MB-2669,MB-2669,-0.5891
brca_metabric,MB-2686,MB-2686,-0.7284
brca_metabric,MB-2705,MB-2705,-0.0969
brca_metabric,MB-2708,MB-2708,-1.2802
brca_metabric,MB-2711,MB-2711,-1.223
brca_metabric,MB-2712,MB-2712,-0.8736
brca_metabric,MB-2718,MB-2718,-0.6681
brca_metabric,MB-2721,MB-2721,-0.1568
brca_metabric,MB-2724,MB-2724,0.1468
brca_metabric,MB-2725,MB-2725,-0.3882
