sample,NSD1
TCGA-AQ-A04J-01,11.15
TCGA-E2-A15D-01,11.15
TCGA-BH-A1FD-01,11.15
TCGA-E2-A2P5-01,11.15
TCGA-GM-A3XN-01,11.15
TCGA-LL-A441-01,11.15
TCGA-A7-A0D9-11,11.14
TCGA-BH-A1EN-11,11.14
TCGA-BH-A0C7-01,11.14
TCGA-A1-A0SK-01,11.14
TCGA-AO-A12F-01,11.14
TCGA-A2-A0YI-01,11.14
TCGA-AO-A03M-01,11.14
TCGA-E2-A1B1-01,11.14
TCGA-A2-A3XY-01,11.14
TCGA-AQ-A7U7-01,11.14
TCGA-EW-A1PH-01,11.14
TCGA-E9-A1RH-11,11.13
TCGA-E2-A109-01,11.13
TCGA-E2-A14W-01,11.13
TCGA-BH-A0BT-11,11.12
TCGA-C8-A12Q-01,11.12
TCGA-B6-A0RV-01,11.12
TCGA-BH-A0B0-01,11.12
TCGA-A1-A0SG-01,11.12
TCGA-A7-A6VV-01,11.12
TCGA-AQ-A1H3-01,11.12
TCGA-AR-A5QM-01,11.12
TCGA-B6-A408-01,11.12
TCGA-C8-A3M8-01,11.12
TCGA-GM-A2DB-01,11.12
TCGA-A7-A0DB-11,11.11
TCGA-BH-A0E1-11,11.11
TCGA-BH-A0HY-01,11.11
TCGA-C8-A12P-01,11.11
TCGA-A7-A4SC-01,11.11
TCGA-BH-A0B2-01,11.11
TCGA-C8-A273-01,11.11
TCGA-A7-A0DC-11,11.1
TCGA-E2-A15I-11,11.1
TCGA-E9-A1N6-11,11.1
TCGA-AO-A03L-01,11.1
TCGA-BH-A0H0-01,11.1
TCGA-BH-A18H-01,11.1
TCGA-E2-A154-01,11.1
TCGA-BH-A1F2-01,11.1
TCGA-E2-A1L9-01,11.1
TCGA-E9-A1RC-11,11.09
TCGA-A8-A084-01,11.09
TCGA-A8-A06Y-01,11.09
TCGA-B6-A0WS-01,11.09
TCGA-PE-A5DD-01,11.09
TCGA-BH-A0BW-01,11.08
TCGA-A2-A0YF-01,11.08
TCGA-AO-A0JG-01,11.08
TCGA-BH-A0DX-01,11.08
TCGA-E2-A14Q-01,11.08
TCGA-A7-A425-01,11.08
TCGA-AC-A6NO-01,11.08
TCGA-BH-AB28-01,11.08
TCGA-E9-A1NH-01,11.08
TCGA-EW-A1P7-01,11.08
TCGA-OL-A5RV-01,11.08
TCGA-XX-A899-01,11.08
TCGA-A8-A08B-01,11.07
TCGA-AO-A03P-01,11.07
TCGA-BH-A0DO-01,11.07
TCGA-C8-A26Z-01,11.07
TCGA-C8-A27B-01,11.07
TCGA-D8-A1JU-01,11.07
TCGA-E9-A1RB-01,11.07
TCGA-LL-A440-01,11.07
TCGA-E2-A158-11,11.06
TCGA-AO-A12B-01,11.06
TCGA-AR-A0U1-01,11.06
TCGA-BH-A18Q-01,11.06
TCGA-A8-A08C-01,11.06
TCGA-A1-A0SP-01,11.06
TCGA-A2-A4RY-01,11.06
TCGA-AC-A4ZE-01,11.06
TCGA-BH-A6R9-01,11.06
TCGA-E9-A1R6-01,11.06
TCGA-EW-A1IZ-01,11.06
TCGA-E9-A1RD-11,11.05
TCGA-A8-A08R-01,11.05
TCGA-BH-A0AV-01,11.05
TCGA-A8-A07P-01,11.05
TCGA-A8-A09T-01,11.05
TCGA-B6-A0IG-01,11.05
TCGA-E2-A14Z-01,11.05
TCGA-3C-AALJ-01,11.05
TCGA-A2-A1FZ-01,11.05
TCGA-A2-A1G4-01,11.05
TCGA-AR-A5QP-01,11.05
TCGA-BH-A1F5-01,11.05
TCGA-GM-A2DL-01,11.05
TCGA-PL-A8LX-01,11.05
TCGA-BH-A0B5-11,11.04
TCGA-BH-A1FR-11,11.04
TCGA-E9-A1NF-11,11.04
TCGA-A7-A0DA-01,11.04
TCGA-5L-AAT0-01,11.04
TCGA-AC-A2FG-01,11.04
TCGA-LL-A740-01,11.04
TCGA-UL-AAZ6-01,11.04
TCGA-BH-A1FE-06,11.03
TCGA-A2-A0CY-01,11.03
TCGA-A8-A08A-01,11.03
TCGA-AO-A12C-01,11.03
TCGA-BH-A0DH-01,11.03
TCGA-BH-A8G0-01,11.03
TCGA-C8-A278-01,11.03
TCGA-EW-A6SA-01,11.03
TCGA-BH-A0HW-01,11.02
TCGA-A2-A0CO-01,11.02
TCGA-B6-A1KI-01,11.02
